expr,hash,ic_mean,oos_ic_mean,ls_sharpe,oos_ls_sharpe,oos_long_excess_annual,oos_monotonicity,ic_retention
"add(zscore(std(rank_cs(log_mv), 20)), add(rank_cs(log_mv), rank_cs(log_amount)))",73760069c5818c00,0.070686889227077,0.0853596113436382,3.46522843741694,3.76593773437,0.1940731252430714,0.9515151515151514,1.2075734591944773
"add(max(rank_cs(log_amount), 20), rank_cs(roc(rank_cs(log_mv), 10)))",b69370e182270e30,0.0670991528557827,0.0792226840274555,3.780249317644265,3.66134875517961,0.1247463189294002,0.8060606060606059,1.1806808380685534
"add(add(rank_cs(ma(intraday, 120)), rank_cs(skew(adj_close, 40))), rank_cs(std(log_amount, 20)))",ce65ec61ae9a7f59,0.0605747056644784,0.0732259393344316,3.4716767924014613,3.03581762409836,0.0543688258784829,0.9393939393939392,1.208853407229546
"add(add(max(skew(ret, 120), 20), roc(rank_cs(log_mv), 60)), zscore(log_volume))",cb6494e2aaf0e847,0.0611902787263005,0.0729454587404002,2.6675871290641746,2.6693640986688743,0.0215802557095392,0.8545454545454544,1.1921086201728177
"add(rank_cs(std(rank_cs(log_amount), 20)), add(rank_cs(log_mv), roc(rank_cs(log_mv), 60)))",29a0e85cd3e58e42,0.0518324007896833,0.0680385768006983,3.392269517007466,4.029894807812469,0.1639064764846711,0.9636363636363636,1.3126649694806471
"add(add(zscore(adj_high), zscore(rank_cs(log_mv))), zscore(std(log_amount, 20)))",35356ae98115c762,0.0486305297041597,0.0660247862171147,3.517409860893741,3.585127239564004,0.0748623443391844,0.9515151515151514,1.3576818228954466
"add(add(rank_cs(intraday), rank_cs(max(rank_cs(log_amount), 20))), rank_cs(skew(adj_close, 40)))",399ac16b92f073ae,0.0609234951716943,0.0656495564999332,3.482958497656159,2.8720940836561195,0.0100420300836852,0.9757575757575756,1.0775737064152335
"rank_cs(roc(rank_cs(adj_high), 20))",c1a5b2638efb7733,0.0504991177551518,0.0622793561849521,2.733418722275861,1.9646771204028344,0.0149157810546336,0.9272727272727272,1.233276123494227
"add(add(rank_cs(intraday), rank_cs(skew(adj_close, 40))), rank_cs(std(zscore(log_amount), 5)))",bb9ad041b6bb1af6,0.0497782927692227,0.0597571181948441,2.817561141069929,2.9064126033158484,0.0041002963879406,1.0,1.20046540109128
"add(max(zscore(skew(adj_close, 60)), 20), zscore(max(delta(log_volume, 40), 20)))",8b2a1e9913243085,0.0495635776384449,0.0565312974353055,2.7190636833917456,2.195634145648868,0.0563299244499611,0.9757575757575756,1.1405814537378343
